Q50017,R277156
Q57945,R827343
Q57953,R874962
Q57962,R405665
Q57964,R004761
Q57965,R977636
Q57968,R388929
Q57970,R788504
Q57971,R596943
Q57972,R237896
Q57983,R325082
Q57984,R404109
Q57985,R898594
Q57988,R285549
Q57989,R446411
Q57993,R828233
Q57995,R515290
Q57999,R512453
Q58008,R767345
Q58017,R174738
Q58021,R997346
Q58036,R808567
Q58037,R579278
Q58041,R289917
Q58047,R314690
Q58051,R111392
Q58057,R204824
Q58061,R114928
Q58062,R347024
Q58064,R982244
Q58069,R152343
Q58077,R359741
Q58080,R832364
Q58081,R032624
Q58099,R208776
Q58108,R984753
Q58113,R101429
Q58114,R561649
Q58117,R954606
Q58124,R505508
Q58125,R608872
Q58126,R415959
Q58129,R798087
Q58137,R544101
Q58146,R197199
Q58148,R321509
Q58151,R762772
Q58152,R895035
Q58158,R466106
Q58162,R780757
Q58165,R600250
Q58167,R316245
Q58168,R219483
Q58172,R363028
Q58176,R125762
Q58177,R067488
Q58179,R907317
Q58180,R783806
Q58181,R773506
Q58188,R162406
Q58198,R892175
Q58202,R963981
Q58206,R992451
Q58213,R595984
Q58223,R744311
Q58226,R903612
Q58227,R407072
Q58228,R290079
Q58236,R503305
Q58249,R499182
Q58256,R744569
Q58261,R271973
Q58263,R976070
Q58267,R740778
Q58272,R053539
Q58281,R668018
Q58282,R178914
Q58288,R510904
Q58290,R707250
Q58293,R386515
Q58304,R586815
Q58306,R848644
Q58312,R743130
Q58313,R476351
Q58315,R873280
Q58317,R452031
Q58322,R945127
Q58325,R677722
Q58338,R109939
Q58340,R256345
Q58342,R677387
Q58350,R717395
Q58351,R517812
Q58356,R527908
Q58371,R751083
Q58374,R153425
Q58376,R213312
Q58380,R961952
Q58383,R722182
Q58386,R344701
Q58389,R369779
Q58394,R672300
Q58395,R035118
Q58396,R482324
Q58399,R529003
Q58402,R685498
Q58406,R445738
Q58419,R406667
Q58420,R195435
Q58421,R594572
Q58424,R956082
Q58428,R670866
Q58429,R026088
Q58433,R904784
Q58434,R843327
Q58438,R004032
Q58442,R569231
Q58443,R758234
Q58444,R033891
Q58447,R845533
Q58452,R001044
Q58456,R911491
Q58459,R903568
Q58465,R248364
Q58470,R385354
Q58474,R945109
Q58476,R758377
Q58477,R112904
Q58479,R051919
Q58492,R713531
Q58495,R868893
Q58498,R475393
Q58499,R115652
Q58505,R332595
Q58519,R603395
Q58521,R852174
Q58525,R642765
Q58531,R584529
Q58536,R395590
Q58540,R415748
Q58550,R323140
Q58554,R463640
Q58558,R740702
Q58559,R394396
Q58561,R884534
Q58565,R885977
Q58574,R525328
Q58576,R142259
Q58579,R962600
Q58587,R516220
Q58591,R030059
Q58594,R904934
Q58596,R041675
Q58599,R591916
Q58601,R536224
Q58603,R376067
Q58615,R543690
Q58621,R594791
Q58634,R271555
Q58647,R987472
Q58653,R130863
Q58656,R922545
Q58662,R771467
Q58666,R591470
Q58684,R372445
Q58696,R123095
Q58709,R888607
Q58711,R371746
Q58713,R541746
Q58716,R953126
Q58720,R835571
Q58732,R401006
Q58740,R794902
Q58746,R909738
Q58766,R949337
Q58767,R557195
Q58773,R405271
Q58777,R434225
Q58778,R478901
Q58779,R170864
Q58781,R409101
Q58786,R031501
Q58801,R592514
Q58804,R889396
Q58809,R008832
Q58811,R655503
Q58812,R024680
Q58817,R067759
Q58820,R748565
Q58821,R292444
Q58831,R522503
Q58846,R366119
Q58850,R181991
Q58853,R963572
Q58863,R356354
Q58869,R247256
Q58879,R159868
Q58892,R760754
Q58896,R987489
Q58900,R873178
Q58912,R382174
Q58916,R094196
Q58917,R466662
Q58920,R009460
Q58922,R012706
Q58924,R569352
Q58926,R590735
Q58928,R985833
Q58932,R023899
Q58938,R101433
Q58942,R328182
Q58954,R794081
Q58960,R829434
Q58961,R928056
Q58967,R261034
Q58968,R677788
Q58971,R941318
Q58975,R177997
Q58978,R027306
Q58980,R636804
Q58987,R568572
Q58988,R665357
Q59010,R488528
Q59016,R555436
Q59018,R371215
Q59021,R609306
Q59024,R434090
Q59025,R153281
Q59027,R349547
Q59029,R611459
Q59030,R462745
Q59032,R428730
Q59037,R660898
Q59038,R466185
Q59039,R576267
Q59045,R031982
Q59046,R801347
Q59051,R492689
Q59053,R303845
Q59067,R227001
Q59069,R130882
Q59070,R615555
Q59076,R146363
Q59083,R408375
Q59085,R447976
Q59086,R308934
Q59090,R873094
Q59097,R013522
Q59107,R080620
Q59111,R420689
Q59118,R446879
Q59124,R610974
Q59135,R749631
Q59138,R324291
Q59140,R420968
Q59145,R716017
Q59147,R304170
Q59149,R810650
Q59150,R718229
Q59164,R600671
Q59166,R239016
Q59186,R251921
Q59189,R873801
Q59190,R123208
Q59196,R377834
Q59199,R672703
Q59224,R022779
Q59237,R760416
Q59239,R919396
Q59243,R873489
Q59248,R984086
Q59249,R101101
Q59254,R103815
Q59258,R160655
Q59259,R438443
Q59262,R162769
Q59263,R358651
Q59264,R526071
Q59266,R017182
Q59268,R118336
Q59282,R363748
Q59284,R136329
Q59286,R489462
Q59294,R805655
Q59301,R070650
Q59304,R657238
Q59305,R600288
Q59307,R729100
Q59309,R582142
Q59310,R628533
Q59314,R760556
Q59320,R313223
Q59329,R563277
Q59335,R576702
Q59336,R102155
Q59345,R643073
Q59354,R924861
Q59356,R102950
Q59368,R186683
Q59379,R039555
Q59386,R446450
Q59392,R467729
Q59397,R793822
Q59399,R080561
Q59402,R272501
Q59403,R700896
Q59404,R313567
Q59412,R373956
Q59421,R612152
Q59425,R560707
Q59432,R243030
Q59438,R167167
Q59439,R041789
Q59448,R828815
Q59451,R471953
Q59453,R182813
Q59460,R218376
Q59463,R582785
Q59464,R267720
Q59473,R347503
Q59477,R845928
Q59478,R912600
Q59480,R069806
Q59481,R741121
Q59493,R895873
Q59499,R526511
Q59504,R921411
Q59505,R212153
Q59507,R779062
Q59513,R419678
Q59514,R894213
Q59516,R806359
Q59520,R874989
Q59522,R654012
Q59530,R844268
Q59532,R295553
Q59535,R045759
Q59538,R145703
Q59548,R232860
Q59550,R856433
Q59552,R910117
Q59558,R301785
Q59559,R258475
Q59560,R080822
Q59563,R785544
Q59568,R886665
Q59582,R888255
Q59584,R928729
Q59591,R638397
Q59598,R493584
Q59599,R746514
Q59600,R921647
Q59601,R305217
Q59605,R709962
Q59609,R953001
Q59614,R986509
Q59616,R526785
Q59622,R602578
Q59625,R844972
Q59639,R381284
Q59647,R318049
Q59649,R303200
Q59652,R402499
Q59653,R959455
Q59662,R462746
Q59664,R552779
Q59671,R297532
Q59677,R296295
Q59687,R174465
Q59689,R135809
Q59690,R328487
Q59692,R364359
Q59694,R872770
Q59704,R519162
Q59705,R092048
Q59718,R747083
Q59726,R638641
Q59727,R673312
Q59734,R239239
Q59736,R263245
Q59739,R241866
Q59750,R439519
Q59751,R988357
Q59761,R531654
Q59772,R622511
Q59775,R255275
Q59782,R026252
Q59783,R492758
Q59784,R083907
Q59792,R213408
Q59796,R012180
Q59807,R688739
Q59813,R884409
Q59816,R209209
Q59818,R932576
Q59819,R341906
Q59821,R491057
Q59822,R905459
Q59830,R582317
Q59836,R360462
Q59846,R496790
Q59857,R239872
Q59862,R333267
Q59863,R038720
Q59868,R976060
Q59869,R561750
Q59872,R214260
Q59883,R521450
Q59888,R091871
Q59889,R880299
Q59890,R969251
Q59895,R806287
Q59896,R495333
Q59904,R032047
Q59906,R378329
Q59912,R040165
Q59918,R926552
Q59928,R244471
Q59930,R751953
Q59936,R519714
Q59937,R956022
Q59941,R085790
Q59942,R822988
Q59950,R366036
Q59964,R085839
Q59969,R247233
Q59970,R952905
Q59975,R238582
Q59976,R471838
Q59979,R258901
Q59983,R961809
Q59984,R491817
Q59987,R172298
Q59989,R333266
Q59992,R600100
Q59999,R957069
Q60006,R342428
Q60013,R566184
Q60014,R004081
Q60017,R694682
Q60021,R745756
Q60024,R412432
Q60030,R776600
Q60032,R566436
Q60036,R541875
Q60039,R737470
Q60049,R105300
Q60052,R735284
Q60053,R111596
Q60056,R000301
Q60058,R746900
Q60067,R099207
Q60079,R921813
Q60084,R002210
Q60089,R369810
Q60093,R327372
Q60094,R934869
Q60101,R737436
Q60104,R507980
Q60105,R545695
Q60112,R557555
Q60121,R278638
Q60123,R441583
Q60128,R042713
Q60132,R994183
Q60159,R162872
Q60161,R168494
Q60165,R974431
Q60167,R919784
Q60173,R354027
Q60183,R588566
Q60193,R605606
Q60196,R796599
Q60198,R495207
Q60204,R361526
Q60207,R081253
Q60208,R723965
Q60212,R477062
Q60219,R775180
Q60221,R054736
Q60223,R552408
Q60225,R711670
Q60226,R328585
Q60227,R012592
Q60228,R506608
Q60237,R517768
Q60240,R789553
Q60248,R333972
Q60251,R691921
Q60258,R976013
Q60267,R545198
Q60287,R450367
Q60292,R260317
Q60293,R679402
Q60295,R432877
Q60302,R501665
Q60307,R507815
Q60318,R650018
Q60319,R578514
Q60329,R721572
Q60352,R374105
Q60355,R938321
Q60361,R283496
Q60365,R805327
Q60369,R001105
Q60378,R786620
Q60384,R874560
Q60386,R454094
Q60387,R267043
Q60399,R445496
Q60414,R104768
Q60416,R279824
Q60420,R073077
Q60421,R382847
Q60427,R452962
Q60438,R168068
Q60439,R207197
Q60442,R991354
Q60443,R276742
Q60445,R331354
Q60448,R255421
Q60449,R377200
Q60472,R136654
Q60473,R704157
Q60482,R953941
Q60484,R550475
Q60485,R011716
Q60486,R453273
Q60493,R453747
Q60495,R317486
Q60506,R115716
Q60512,R606889
Q60515,R466177
Q60518,R557601
Q60521,R098719
Q60528,R710189
Q60531,R334011
Q60535,R779117
Q60536,R381301
Q60537,R791176
Q60542,R662297
Q60543,R244435
Q60546,R732023
Q60547,R739004
Q60549,R619662
Q60550,R501273
Q60554,R872706
Q60558,R206187
Q60561,R735909
Q60565,R585317
Q60568,R745754
Q60570,R058716
Q60573,R207980
Q60574,R720180
Q60576,R897583
Q60585,R624004
Q60587,R245434
Q60590,R318173
Q60592,R374193
Q60593,R746121
Q60595,R137774
Q60597,R921796
Q60598,R373734
Q60599,R899184
Q60603,R803028
Q60608,R724512
Q60612,R635606
Q60614,R064964
Q60620,R553533
Q60625,R565175
Q60628,R839822
Q60633,R158470
Q60641,R323307
Q60647,R276950
Q60657,R890251
Q60660,R359315
Q60661,R234428
Q60663,R289546
Q60669,R878411
Q60680,R528494
Q60687,R653253
Q60695,R625102
Q60698,R555359
Q60707,R741647
Q60713,R139139
Q60720,R332172
Q60728,R290598
Q60729,R238224
Q60736,R437721
Q60738,R743061
Q60750,R661489
Q60754,R437711
Q60756,R276016
Q60757,R354868
Q60758,R673914
Q60777,R069544
Q60778,R791018
Q60788,R847492
Q60801,R148754
Q60808,R405535
Q60815,R108616
Q60818,R590080
Q60824,R848026
Q60825,R984200
Q60833,R128840
Q60842,R084580
Q60848,R610085
Q60853,R492213
Q60854,R731942
Q60880,R271251
Q60881,R756421
Q60884,R892454
Q60893,R815273
Q60894,R015608
Q60902,R944413
Q60907,R918506
Q60911,R878097
Q60919,R031340
Q60921,R349585
Q60934,R471369
Q60939,R156550
Q60944,R870050
Q60945,R265342
Q60946,R540471
Q60947,R728570
Q60951,R680093
Q60961,R459825
Q60970,R633785
Q60976,R141512
Q60987,R227735
Q60991,R017375
Q61002,R951589
Q61003,R012080
Q61009,R115053
Q61013,R279746
Q61018,R691777
Q61028,R546231
Q61030,R601185
Q61033,R899959
Q61039,R526300
Q61041,R737798
Q61042,R555049
Q61043,R513091
Q61046,R392904
Q61051,R138114
Q61053,R976600
Q61055,R629977
Q61060,R094499
Q61066,R113466
Q61067,R211758
Q61074,R724104
Q61075,R292938
Q61081,R541501
Q61083,R996887
Q61084,R953844
Q61087,R981143
Q61089,R630265
Q61090,R486805
Q61095,R222067
Q61099,R642383
Q61112,R727878
Q61118,R062567
Q61124,R743296
Q61125,R903639
Q61136,R216775
Q61140,R893213
Q61146,R661745
Q61154,R027674
Q61157,R974909
Q61183,R228769
Q61184,R515106
Q61186,R602861
Q61188,R632989
Q61195,R977498
Q61196,R911728
Q61217,R493664
Q61224,R451552
Q61225,R270964
Q61226,R373295
Q61229,R433168
Q61232,R834520
Q61234,R050374
Q61237,R286184
Q61243,R398422
Q61251,R373041
Q61256,R600304
Q61257,R994383
Q61261,R748566
Q61262,R915193
Q61268,R644914
Q61271,R883027
Q61272,R842289
Q61273,R587677
Q61276,R168257
Q61282,R083002
Q61285,R727891
Q61290,R726503
Q61302,R222371
Q61308,R638308
Q61310,R405248
Q61313,R821220
Q61314,R077582
Q61320,R161573
Q61322,R466973
Q61325,R684358
Q61326,R452786
Q61330,R384421
Q61331,R620212
Q61338,R087126
Q61339,R416186
Q61340,R762920
Q61342,R675792
Q61345,R058894
Q61349,R565575
Q61364,R368552
Q61369,R778060
Q61371,R972155
Q61374,R028932
Q61379,R694596
Q61387,R973416
Q61389,R847550
Q61391,R570941
Q61396,R142681
Q61398,R386732
Q61409,R933972
Q61414,R382966
Q61416,R029164
Q61418,R221978
Q61429,R341420
Q61433,R958494
Q61434,R245451
Q61437,R352622
Q61448,R294680
Q61449,R688857
Q61458,R172000
Q61461,R974420
Q61464,R083184
Q61469,R271926
Q61474,R328920
Q61483,R397587
Q61492,R719162
Q61493,R447532
Q61499,R045711
Q61502,R804321
Q61504,R690294
Q61511,R533020
Q61520,R581135
Q61525,R945995
Q61526,R700714
Q61531,R463246
Q61536,R885730
Q61542,R664922
Q61548,R586343
Q61551,R465204
Q61557,R988635
Q61558,R262322
Q61560,R450187
Q61564,R781816
Q61568,R495826
Q61578,R555611
Q61583,R862232
Q61584,R278585
Q61594,R840469
Q61598,R808415
Q61603,R361261
Q61608,R775394
Q61610,R245455
Q61612,R514517
Q61613,R020384
Q61628,R302162
Q61632,R720661
Q61639,R161349
Q61647,R256348
Q61653,R109577
Q61656,R374763
Q61658,R424927
Q61659,R743771
Q61661,R951501
Q61672,R831256
Q61673,R065212
Q61674,R075493
Q61678,R767051
Q61681,R702994
Q61686,R505905
Q61690,R185442
Q61704,R751396
Q61717,R982264
Q61718,R382759
Q61719,R356278
Q61730,R196723
Q61737,R518931
Q61740,R877247
Q61748,R669887
Q61749,R525422
Q61750,R054764
Q61752,R451803
Q61755,R810555
Q61756,R531168
Q61759,R098750
Q61760,R522438
Q61761,R781702
Q61764,R237079
Q61765,R499889
Q61779,R013385
Q61781,R060405
Q61795,R481619
Q61803,R934325
Q61808,R376781
Q61809,R181951
Q61810,R208836
Q61814,R475500
Q61820,R741104
Q61830,R230739
Q61839,R224807
Q61842,R320169
Q61848,R663612
Q61861,R086299
Q61863,R093173
Q61872,R072755
Q61891,R838551
Q61894,R644729
Q61899,R912756
Q61906,R922534
Q61908,R267509
Q61912,R238321
Q61913,R346848
Q61916,R039459
Q61926,R941342
Q61928,R190248
Q61934,R230232
Q61938,R781478
Q61940,R647474
Q61941,R925194
Q61945,R377455
Q61947,R587968
Q61948,R061440
Q61951,R857143
Q61961,R585835
Q61963,R731327
Q61966,R495894
Q61980,R332691
Q61981,R722845
Q61982,R384633
Q61989,R641274
Q61993,R804050
Q61998,R919084
Q62002,R681926
Q62007,R464181
Q62009,R034001
Q62010,R427409
Q62016,R526429
Q62018,R224895
Q62022,R829309
Q62024,R522053
Q62028,R317662
Q62029,R883398
Q62034,R241342
Q62043,R302378
Q62071,R790045
Q62074,R328491
Q62076,R340994
Q62079,R129666
Q62081,R457234
Q62089,R121712
Q62090,R682337
Q62099,R744746
Q62108,R528801
Q62111,R250432
Q62112,R228326
Q62113,R005860
Q62115,R410120
Q62116,R377195
Q62122,R801022
Q62123,R654158
Q62131,R798334
Q62133,R861503
Q62135,R004251
Q62143,R827005
Q62152,R412197
Q62159,R037222
Q62162,R348700
Q62171,R724714
Q62174,R216320
Q62176,R481157
Q62177,R770903
Q62178,R721033
Q62181,R498941
Q62192,R097710
Q62195,R333764
Q62202,R232804
Q62205,R142194
Q62219,R794842
Q62222,R060262
Q62233,R090313
Q62236,R864533
Q62243,R526849
Q62248,R958294
Q62250,R865282
Q62265,R470456
Q62280,R260330
Q62282,R520999
Q62284,R384378
Q62291,R669796
Q62292,R172088
Q62293,R010773
Q62294,R141803
Q62320,R919554
Q62323,R188639
Q62324,R315196
Q62325,R703023
Q62332,R001270
Q62333,R839976
Q62340,R061901
Q62341,R153537
Q62343,R333904
Q62348,R090826
Q62350,R645462
Q62356,R572688
Q62358,R251902
Q62359,R137029
Q62362,R245978
Q62364,R291157
Q62368,R100048
Q62371,R659894
Q62372,R281174
Q62378,R297154
Q62383,R402618
Q62388,R434091
Q62390,R571272
Q62391,R101051
Q62408,R035609
Q62409,R097352
Q62413,R084702
Q62418,R534005
Q62420,R091413
Q62422,R587810
Q62425,R523210
Q62430,R648093
Q62433,R606587
Q62445,R309722
Q62454,R385653
Q62457,R618555
Q62460,R339644
Q62463,R686204
Q62464,R955732
Q62472,R659164
Q62475,R514480
Q62482,R075911
Q62483,R063931
Q62488,R779427
Q62492,R462894
Q62496,R517813
Q62499,R869814
Q62507,R968574
Q62516,R534419
Q62522,R858245
Q62523,R622953
Q62529,R433907
Q62530,R801384
Q62541,R866518
Q62545,R476987
Q62549,R428811
Q62553,R633845
Q62562,R339904
Q62566,R118653
Q62571,R052849
Q62572,R376785
Q62578,R717754
Q62582,R849065
Q62584,R881190
Q62590,R292763
Q62601,R909979
Q62602,R922412
Q62608,R849196
Q62613,R788829
Q62620,R510495
Q62622,R235552
Q62633,R289504
Q62634,R015570
Q62636,R904426
Q62644,R123963
Q62645,R813928
Q62653,R718502
Q62655,R998170
Q62661,R809560
Q62670,R217889
Q62673,R752099
Q62674,R242004
Q62680,R084512
Q62687,R566578
Q62689,R326745
Q62690,R363065
Q62704,R338616
Q62709,R433296
Q62711,R144445
Q62720,R319133
Q62725,R097415
Q62726,R779864
Q62735,R261603
Q62737,R391700
Q62738,R850729
Q62740,R242372
Q62741,R488090
Q62744,R634864
Q62746,R850320
Q62761,R313752
Q62762,R255443
Q62763,R470513
Q62764,R875146
Q62771,R517488
Q62778,R332325
Q62793,R453832
Q62795,R162076
Q62799,R221266
Q62807,R058794
Q62808,R392621
Q62809,R884669
Q62811,R574562
Q62820,R878783
Q62835,R682951
Q62839,R282394
Q62844,R550427
Q62846,R727018
Q62854,R422978
Q62866,R768930
Q62867,R429381
Q62868,R452795
Q62880,R855902
Q62882,R618462
Q62886,R637538
Q62887,R880490
Q62901,R462176
Q62902,R442702
Q62913,R024010
Q62914,R780679
Q62916,R645114
Q62922,R925886
Q62930,R037453
Q62931,R619489
Q62938,R342063
Q62940,R006287
Q62941,R627261
Q62942,R117288
Q62943,R217861
Q62947,R646461
Q62949,R859444
Q62954,R442434
Q62955,R268965
Q62957,R475740
Q62961,R516626
Q62964,R434716
Q62970,R554884
Q62972,R738526
Q62977,R743079
Q62978,R950996
Q62979,R809905
Q62988,R365303
Q62990,R358624
Q62992,R680037
Q62999,R458438
Q63001,R671840
Q63002,R823986
Q63009,R548783
Q63010,R001433
Q63017,R322791
Q63018,R474580
Q63020,R733994
Q63026,R660779
Q63036,R106376
Q63037,R517790
Q63042,R523424
Q63043,R851698
Q63048,R767805
Q63053,R043890
Q63054,R992478
Q63057,R436324
Q63058,R550142
Q63069,R921631
Q63086,R281191
Q63099,R723576
Q63104,R184532
Q63105,R735437
Q63106,R882433
Q63111,R586074
Q63112,R576668
Q63115,R103928
Q63117,R187987
Q63121,R654942
Q63123,R097334
Q63125,R768473
Q63128,R801017
Q63131,R071184
Q63132,R199835
Q63134,R712020
Q63136,R984984
Q63144,R612518
Q63150,R143849
Q63151,R125964
Q63155,R882150
Q63158,R271468
Q63163,R053414
Q63170,R258763
Q63178,R608831
Q63182,R684287
Q63184,R323250
Q63185,R591015
Q63186,R644967
Q63200,R357687
Q63201,R166593
Q63205,R557977
Q63218,R353287
Q63223,R064738
Q63231,R231412
Q63236,R733742
Q63241,R155348
Q63260,R943505
Q63265,R251561
Q63271,R677480
Q63274,R564976
Q63277,R206941
Q63288,R217403
Q63294,R100543
Q63297,R349813
Q63300,R358722
Q63305,R674282
Q63323,R072594
Q63326,R124174
Q63328,R062054
Q63337,R672628
Q63343,R655259
Q63348,R156073
Q63351,R222951
Q63356,R546246
Q63364,R705610
Q63370,R966737
Q63375,R053501
Q63385,R139660
Q63388,R462297
Q63390,R690712
Q63391,R480826
Q63400,R602338
Q63406,R125446
Q63413,R059789
Q63415,R896006
Q63418,R734380
Q63423,R970281
Q63432,R160333
Q63435,R601598
Q63440,R886330
Q63445,R651985
Q63447,R395766
Q63463,R291896
Q63465,R085494
Q63470,R185767
Q63471,R089343
Q63474,R082119
Q63480,R058099
Q63482,R273890
Q63486,R291409
Q63488,R225262
Q63493,R651530
Q63496,R136772
Q63503,R975321
Q63510,R320123
Q63524,R039596
Q63525,R460158
Q63527,R997101
Q63532,R755190
Q63536,R161176
Q63542,R887911
Q63545,R110603
Q63550,R036949
Q63552,R782575
Q63556,R495833
Q63570,R403590
Q63571,R353597
Q63572,R939017
Q63579,R041754
Q63581,R677023
Q63591,R089438
Q63593,R430038
Q63604,R187749
Q63613,R779294
Q63616,R998927
Q63625,R163401
Q63629,R317777
Q63634,R592077
Q63641,R613759
Q63655,R671858
Q63657,R002034
Q63658,R927521
Q63659,R023481
Q63663,R687178
Q63664,R526947
Q63667,R865321
Q63671,R506495
Q63674,R737492
Q63677,R427318
Q63691,R541823
Q63694,R068686
Q63710,R076177
Q63713,R418248
Q63715,R123609
Q63717,R127068
Q63720,R338096
Q63721,R045952
Q63736,R279043
Q63737,R344771
Q63751,R140914
Q63754,R555521
Q63756,R359441
Q63757,R941287
Q63762,R300452
Q63764,R074593
Q63777,R386364
Q63781,R788081
Q63787,R612873
Q63791,R823943
Q63802,R492067
Q63805,R080638
Q63812,R643739
Q63818,R438079
Q63820,R002586
Q63823,R815869
Q63826,R434782
Q63840,R662148
Q63841,R032634
Q63842,R502689
Q63843,R447908
Q63844,R458363
Q63849,R233586
Q63854,R296223
Q63855,R120168
Q63865,R365751
Q63866,R525625
Q63873,R243735
Q63877,R369415
Q63880,R890389
Q63888,R222925
Q63897,R131898
Q63899,R309312
Q63900,R423337
Q63901,R122093
Q63902,R328629
Q63907,R129766
Q63912,R823549
Q63916,R796920
Q63920,R700842
Q63924,R001982
Q63925,R589820
Q63927,R292179
Q63928,R335379
Q63931,R075664
Q63933,R463465
Q63937,R723338
Q63955,R976790
Q63961,R052278
Q63963,R611211
Q63973,R883792
Q63978,R567817
Q63980,R813474
Q63991,R588505
Q63994,R998926
Q64000,R985093
Q64009,R995227
Q64014,R980492
Q64016,R380924
Q64020,R320740
Q64024,R822019
Q64037,R450748
Q64043,R880589
Q64044,R346892
Q64046,R295819
Q64062,R650245
Q64064,R179635
Q64067,R112536
Q64071,R930973
Q64076,R158175
Q64083,R893290
Q64087,R044763
Q64088,R672468
Q64091,R207995
Q64096,R364289
Q64100,R283199
Q64110,R130811
Q64115,R064305
Q64117,R031393
Q64126,R236180
Q64127,R095853
Q64130,R311996
Q64132,R492021
Q64135,R572451
Q64136,R424224
Q64146,R505555
Q64149,R124915
Q64154,R781278
Q64155,R550090
Q64164,R526668
Q64165,R698429
Q64166,R522894
Q64167,R110124
Q64169,R315523
Q64171,R409128
Q64172,R396812
Q64181,R831032
Q64182,R346967
Q64183,R836124
Q64185,R995809
Q64187,R861703
Q64193,R975233
Q64194,R068609
Q64200,R146162
Q64204,R547629
Q64210,R213411
Q64211,R225684
Q64214,R563046
Q64215,R862868
Q64216,R402655
Q64217,R195030
Q64219,R472951
Q64224,R012738
Q64231,R972078
Q64235,R398588
Q64237,R996094
Q64243,R627018
Q64247,R203218
Q64251,R115988
Q64261,R586326
Q64264,R034261
Q64276,R528201
Q64277,R014915
Q64278,R349627
Q64285,R712604
Q64300,R894456
Q64310,R713132
Q64313,R961283
Q64315,R928745
Q64321,R977966
Q64322,R303370
Q64323,R169208
Q64338,R351106
Q64340,R390038
Q64353,R406285
Q64365,R062469
Q64392,R701198
Q64396,R768528
Q64397,R212503
Q64400,R257395
Q64412,R385779
Q64414,R304529
Q64423,R748207
Q64429,R146757
Q64430,R496541
Q64433,R944926
Q64442,R818299
Q64445,R361855
Q64448,R125902
Q64450,R949089
Q64471,R625561
Q64472,R556733
Q64474,R082336
Q64479,R369170
Q64486,R243638
Q64491,R831589
Q64497,R053180
Q64499,R172328
Q64510,R351380
Q64517,R692291
Q64521,R095346
Q64522,R370665
Q64526,R342230
Q64529,R602498
Q64534,R528825
Q64541,R045893
Q64549,R830383
Q64550,R367810
Q64555,R633485
Q64557,R836413
Q64558,R677278
Q64563,R628736
Q64568,R585115
Q64571,R187375
Q64579,R623347
Q64585,R612588
Q64593,R484598
Q64594,R241257
Q64608,R078035
Q64611,R038576
Q64620,R677520
Q64624,R361733
Q64625,R196969
Q64630,R941491
Q64635,R148208
Q64641,R497041
Q64651,R730884
Q64652,R888456
Q64655,R299670
Q64661,R488213
Q64665,R337186
Q64675,R042499
Q64677,R323120
Q64687,R438978
Q64697,R260212
Q64712,R318725
Q64713,R435376
Q64716,R046224
Q64725,R088042
Q64726,R700812
Q64729,R519725
Q64739,R304980
Q64744,R419507
Q64745,R524596
Q64746,R543687
Q64748,R818369
Q64755,R258011
Q64760,R182590
Q64767,R998128
Q64770,R286000
Q64776,R445020
Q64782,R160522
Q64783,R228669
Q64791,R052094
Q64807,R211878
Q64812,R565642
Q64827,R902831
Q64829,R933750
Q64840,R488382
Q64847,R849197
Q64851,R926698
Q64852,R114316
Q64854,R400972
Q64858,R567083
Q64859,R541229
Q64864,R971735
Q64870,R316379
Q64877,R756787
Q64879,R316582
Q64880,R065366
Q64885,R613203
Q64886,R060177
Q64904,R943168
Q64914,R355329
Q64921,R548445
Q64922,R783711
Q64926,R256802
Q64930,R511512
Q64931,R434384
Q64937,R002887
Q64939,R684576
Q64940,R125789
Q64941,R302772
Q64946,R857883
Q64957,R395408
Q64960,R608755
Q64963,R722012
Q64964,R767197
Q64971,R623947
Q64972,R534338
Q64973,R837294
Q64978,R651585
Q64981,R727043
Q64983,R868167
Q64989,R223617
Q64993,R157028
Q65002,R836691
Q65003,R821227
Q65005,R499872
Q65007,R444885
Q65008,R843404
Q65011,R856327
Q65017,R290044
Q65045,R203316
Q65051,R585571
Q65059,R995496
Q65075,R153357
Q65081,R772610
Q65083,R744471
Q65085,R884148
Q65093,R589233
Q65100,R886672
Q65102,R543215
Q65105,R412683
Q65106,R926252
Q65111,R654922
Q65113,R654917
Q65117,R406214
Q65123,R873730
Q65125,R413705
Q65130,R203719
Q65137,R988136
Q65138,R920395
Q65139,R422258
Q65144,R302214
Q65147,R103219
Q65164,R360499
Q65168,R769562
Q65171,R996852
Q65176,R432352
Q65180,R143418
Q65181,R760926
Q65189,R096552
Q65190,R289634
Q65204,R880524
Q65210,R553259
Q65213,R503370
Q65216,R156333
Q65225,R412601
Q65230,R968349
Q65232,R908895
Q65233,R639331
Q65236,R557105
Q65241,R214031
Q65244,R219295
Q65249,R077247
Q65259,R619857
Q65260,R106975
Q65261,R521114
Q65263,R986256
Q65265,R584127
Q65266,R649026
Q65272,R214488
Q65278,R640228
Q65282,R240336
Q65286,R557771
Q65287,R099967
Q65288,R468536
Q65289,R180361
Q65293,R997068
Q65295,R745317
Q65299,R942360
Q65312,R175207
Q65314,R853422
Q65316,R708442
Q65318,R484012
Q65320,R974865
Q65322,R871814
Q65323,R433158
Q65328,R404633
Q65332,R652701
Q65333,R724869
Q65345,R585112
Q65346,R732124
Q65348,R425358
Q65350,R818201
Q65352,R594582
Q65353,R481883
Q65354,R322877
Q65368,R171575
Q65377,R811344
Q65378,R782075
Q65382,R895334
Q65384,R625406
Q65393,R335246
Q65394,R610546
Q65414,R146786
